sales_date,sku_id,product_name,daily_quantity,rolling_mean_7,spike_ratio,severity,reason,anomaly_type
2025-11-03,	7481121574674874687,【官方直播】WebberNaturals伟博深海鱼油1100mg高纯度Omega3 120粒-一瓶装【4个月的量】-(625273090086*1);伟博天然辅酶Q10胶囊100mg 成人心脏活力60粒 效期至26年5月30日-默认-(DYWEB628347570705),46,9.571428571428571,4.8059701492537314,Medium,Campaign-driven sales spike: Sales are 4.81x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-11-04,	7481121574674874687,【官方直播】WebberNaturals伟博深海鱼油1100mg高纯度Omega3 120粒-一瓶装【4个月的量】-(625273090086*1);伟博天然辅酶Q10胶囊100mg 成人心脏活力60粒 效期至26年5月30日-默认-(DYWEB628347570705),42,10.142857142857142,4.140845070422535,Medium,Campaign-driven sales spike: Sales are 4.14x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-24,	7503765776017555739,【官方直播】WebberNaturals伟博深海鱼油1100mg高纯度Omega3 120粒-一瓶装【4个月的量】-(625273090086*1);WEBBER NATURALS茶氨酸加纳籽褪黑素香蜂草草本5重配方安睡宝10粒-默认-(DYWEB990312500179),10,2.0,5.0,High,Campaign-driven sales spike: Sales are 5.0x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-31,	7503765776017555739,【官方直播】WebberNaturals伟博深海鱼油1100mg高纯度Omega3 120粒-一瓶装【4个月的量】-(625273090086*1);WEBBER NATURALS茶氨酸加纳籽褪黑素香蜂草草本5重配方安睡宝10粒-默认-(DYWEB990312500179),20,5.714285714285714,3.5,Medium,Campaign-driven sales spike: Sales are 3.5x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-11-05,	7503765776017555739,【官方直播】WebberNaturals伟博深海鱼油1100mg高纯度Omega3 120粒-一瓶装【4个月的量】-(625273090086*1);WEBBER NATURALS茶氨酸加纳籽褪黑素香蜂草草本5重配方安睡宝10粒-默认-(DYWEB990312500179),34,7.714285714285714,4.407407407407407,Medium,Campaign-driven sales spike: Sales are 4.41x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-11-05,	7510043339572445477;7503765776017555739,WEBBER NATURALS3倍深海鱼油欧米伽3成人健身无鱼腥DNA鱼油200粒-默认-(625273072433);WEBBER NATURALS茶氨酸加纳籽褪黑素香蜂草草本5重配方安睡宝10粒-默认-(DYWEB990312500179),12,4.0,3.0,Medium,Campaign-driven sales spike: Sales are 3.0x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-26,	7527938665289761070;7481121574674874687,WEBBER NATURALS伟博天然守护前列番茄红素南瓜籽油锯棕榈60粒/瓶-默认-(625273039344);伟博天然辅酶Q10胶囊100mg 成人心脏活力60粒 效期至26年5月30日-默认-(DYWEB628347570705),18,3.5714285714285716,5.04,High,Campaign-driven sales spike: Sales are 5.04x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-11-07,7.054785415521419e+18,WEBBER NATURALS6岁+儿童鱼油高DHA香橙味欧米伽3眼脑同步120粒-默认-(DYWEB625273033496),30,6.857142857142857,4.375,Medium,Campaign-driven sales spike: Sales are 4.38x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-11-11,7.054785415521419e+18,WEBBER NATURALS6岁+儿童鱼油高DHA香橙味欧米伽3眼脑同步120粒-默认-(DYWEB625273033496),25,7.714285714285714,3.2407407407407405,Medium,Campaign-driven sales spike: Sales are 3.24x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-12-02,7.054785415521419e+18,WEBBER NATURALS6岁+儿童鱼油高DHA香橙味欧米伽3眼脑同步120粒-默认-(DYWEB625273033496),29,9.142857142857142,3.171875,Medium,Campaign-driven sales spike: Sales are 3.17x higher than the 7-day average.,CAMPAIGN_SPIKE
