sales_date,sku_id,product_name,daily_quantity,rolling_mean_7,spike_ratio,anomaly_type
2025-04-08,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-1瓶装,178,2.0,89.0,SALES_SPIKE
2025-04-09,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-1瓶装,224,1.8571428571428572,120.61538461538461,SALES_SPIKE
2025-04-09,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-3瓶装,151,33.142857142857146,4.55603448275862,SALES_SPIKE
2025-04-10,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-3瓶装,110,4.142857142857143,26.551724137931032,SALES_SPIKE
2025-04-10,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-1瓶装,172,17.857142857142858,9.632,SALES_SPIKE
2025-04-11,	-,【官方直播】WebberNaturals伟博深海鱼油1390mg高纯度Omega3 120粒-1瓶装,12,3.4285714285714284,3.5,SALES_SPIKE
2025-04-11,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-3瓶装,59,5.142857142857143,11.472222222222221,SALES_SPIKE
2025-04-11,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-1瓶装,137,13.857142857142858,9.88659793814433,SALES_SPIKE
2025-04-12,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-3瓶装,105,3.4285714285714284,30.625,SALES_SPIKE
2025-04-12,	-,【官方直播】WebberNaturals伟博深海鱼油1390mg高纯度Omega3 120粒-1瓶装,11,3.2857142857142856,3.347826086956522,SALES_SPIKE
2025-04-12,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-1瓶装,158,4.285714285714286,36.86666666666667,SALES_SPIKE
2025-04-14,	-,【官方直播】WebberNaturals伟博深海鱼油1390mg高纯度Omega3 120粒-3瓶装,6,1.4285714285714286,4.2,SALES_SPIKE
2025-04-15,	-,【官方直播】WebberNaturals伟博深海鱼油1390mg高纯度Omega3 120粒-3瓶装,9,1.4285714285714286,6.3,SALES_SPIKE
2025-04-16,	-,【官方直播】WebberNaturals伟博深海鱼油1390mg高纯度Omega3 120粒-3瓶装,13,3.142857142857143,4.136363636363637,SALES_SPIKE
2025-04-16,	-,【官方直播】加拿大伟博儿童鱼油高脑力DHA无腥可嚼软胶囊120粒/瓶-2瓶装,5,1.4285714285714286,3.5,SALES_SPIKE
2025-04-17,	-,【官方直播】WebberNaturals伟博深海鱼油1390mg高纯度Omega3 120粒-3瓶装,11,2.142857142857143,5.133333333333334,SALES_SPIKE
2025-04-17,	-,【官方直播】WebberNaturals伟博深海鱼油1390mg高纯度Omega3 120粒-1瓶装,8,2.4285714285714284,3.294117647058824,SALES_SPIKE
2025-04-18,	-,【官方直播】WebberNaturals伟博深海鱼油1390mg高纯度Omega3 120粒-3瓶装,10,2.857142857142857,3.5,SALES_SPIKE
2025-04-19,	-,【官方直播】WebberNaturals伟博深海鱼油1390mg高纯度Omega3 120粒-2瓶装,5,1.5714285714285714,3.181818181818182,SALES_SPIKE
2025-04-19,	-,【官方直播】WebberNaturals伟博深海鱼油1390mg高纯度Omega3 120粒-3瓶装,10,2.142857142857143,4.666666666666667,SALES_SPIKE
2025-04-20,	-,【官方直播】WebberNaturals伟博深海鱼油1390mg高纯度Omega3 120粒-3瓶装,9,1.1428571428571428,7.875,SALES_SPIKE
2025-04-20,	-,【官方直播】WebberNaturals伟博深海鱼油1390mg高纯度Omega3 120粒-1瓶装,8,2.4285714285714284,3.294117647058824,SALES_SPIKE
2025-04-21,	-,【官方直播】加拿大伟博儿童鱼油高脑力DHA无腥可嚼软胶囊120粒/瓶-2瓶装,7,1.2857142857142858,5.444444444444444,SALES_SPIKE
2025-04-21,	-,【官方直播】WebberNaturals伟博深海鱼油1390mg高纯度Omega3 120粒-3瓶装,11,2.7142857142857144,4.052631578947368,SALES_SPIKE
2025-04-22,	-,【官方直播】WebberNaturals伟博深海鱼油1390mg高纯度Omega3 120粒-3瓶装,6,1.2857142857142858,4.666666666666666,SALES_SPIKE
2025-04-22,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-1瓶装,7,2.0,3.5,SALES_SPIKE
2025-04-22,	-,【官方直播】WebberNaturals伟博深海鱼油1390mg高纯度Omega3 120粒-1瓶装,9,2.5714285714285716,3.4999999999999996,SALES_SPIKE
2025-04-23,	-,【官方直播】WebberNaturals伟博深海鱼油1390mg高纯度Omega3 120粒-3瓶装,8,1.4285714285714286,5.6,SALES_SPIKE
2025-04-25,	-,【官方直播】WebberNaturals伟博深海鱼油1390mg高纯度Omega3 120粒-3瓶装,17,2.142857142857143,7.933333333333334,SALES_SPIKE
2025-04-26,	-,【官方直播】WebberNaturals伟博深海鱼油1390mg高纯度Omega3 120粒-3瓶装,13,2.142857142857143,6.066666666666666,SALES_SPIKE
2025-04-26,	-,【官方直播】加拿大伟博Webber鱼油500mgOmega3+D3青少年 100粒/瓶-2瓶装,5,1.4285714285714286,3.5,SALES_SPIKE
2025-04-26,	-,【官方直播】WebberNaturals伟博深海鱼油1390mg高纯度Omega3 120粒-1瓶装,9,2.0,4.5,SALES_SPIKE
2025-04-27,	-,【官方直播】WebberNaturals伟博深海鱼油1390mg高纯度Omega3 120粒-1瓶装,9,3.0,3.0,SALES_SPIKE
2025-04-29,	-,【官方直播】WebberNaturals伟博深海鱼油1390mg高纯度Omega3 120粒-3瓶装,14,1.4285714285714286,9.799999999999999,SALES_SPIKE
2025-04-30,	-,Webber Naturals伟博天然进口小分子胶原蛋白多肽粉150g z-胶原蛋白多肽粉150g*1,9,1.2857142857142858,6.999999999999999,SALES_SPIKE
2025-04-30,	-,【官方直播】WebberNaturals伟博深海鱼油1390mg高纯度Omega3 120粒-3瓶装,9,2.4285714285714284,3.7058823529411766,SALES_SPIKE
2025-05-01,	-,【官方直播】WebberNaturals伟博深海鱼油1390mg高纯度Omega3 120粒-1瓶装,6,1.8571428571428572,3.230769230769231,SALES_SPIKE
2025-05-02,	-,【官方直播】WebberNaturals伟博深海鱼油1390mg高纯度Omega3 120粒-1瓶装,8,1.4285714285714286,5.6,SALES_SPIKE
2025-05-03,	-,【官方直播】WebberNaturals伟博深海鱼油1390mg高纯度Omega3 120粒-1瓶装,6,1.7142857142857142,3.5,SALES_SPIKE
2025-05-06,	-,【官方直播】加拿大伟博Webber鱼油500mgOmega3+D3青少年 100粒/瓶-2瓶装,5,1.2857142857142858,3.8888888888888884,SALES_SPIKE
2025-07-11,	-,【官方直播】WebberNaturals伟博深海鱼油1100mg高纯度Omega3 120粒-一瓶装【4个月的量】,5,1.2857142857142858,3.8888888888888884,SALES_SPIKE
2025-07-18,	-,【官方直播】WebberNaturals伟博深海鱼油1100mg高纯度Omega3 120粒-一瓶装【4个月的量】,10,1.8571428571428572,5.384615384615384,SALES_SPIKE
2025-07-19,	-,【官方直播】WebberNaturals伟博深海鱼油1100mg高纯度Omega3 120粒-一瓶装【4个月的量】,12,3.142857142857143,3.8181818181818183,SALES_SPIKE
2025-07-20,	-,【官方直播】WebberNaturals伟博深海鱼油1100mg高纯度Omega3 120粒-一瓶装【4个月的量】,7,1.5714285714285714,4.454545454545455,SALES_SPIKE
2025-07-21,	-,【官方直播】WebberNaturals伟博深海鱼油1100mg高纯度Omega3 120粒-一瓶装【4个月的量】,10,2.2857142857142856,4.375,SALES_SPIKE
2025-07-22,	-,【官方直播】WebberNaturals伟博深海鱼油1100mg高纯度Omega3 120粒-一瓶装【4个月的量】,9,1.7142857142857142,5.25,SALES_SPIKE
2025-07-24,	-,【官方直播】WebberNaturals伟博深海鱼油1100mg高纯度Omega3 120粒-一瓶装【4个月的量】,8,1.4285714285714286,5.6,SALES_SPIKE
